ME,ano,mês,casos,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,nível,população,casos_acumulados_ano,p_rt1,p_inc100k,Rt,receptivo,transmissao,nivel_inc
2021-07,2021,07,0,24.678571428571452,27.3857400714286,30.607142857142875,53.878672321428546,73.18976814285715,87.10616999999999,1,29146,427,0.0,0.0,0.0,0,0,0
2021-08,2021,08,0,25.0,27.710380171428557,31.25714285714286,49.57132097142858,68.7919855142857,82.1467836,1,29146,427,0.0,0.0,0.0,0,0,0
2021-09,2021,09,0,25.678571428571427,27.951216357142876,31.392857142857153,51.83359378571427,70.19449535714283,82.96341835714287,1,29146,427,0.0,0.0,0.0,0,0,0
2021-10,2021,10,0,26.02857142857144,28.270962742857144,31.25714285714284,56.70138417142857,71.7227428857143,83.72636154285715,1,29146,427,0.0,0.0,0.0,0,0,0
2021-11,2021,11,0,26.678571428571427,28.80257135714285,31.7857142857143,56.40850375,71.19751885714285,82.18902664285716,1,29146,427,0.0,0.0,0.0,0,0,0
2021-12,2021,12,0,26.642857142857153,28.742689,31.46428571428575,59.90550475,73.24607389285714,84.53508046428576,1,29146,427,0.0,0.0,0.0,0,0,0
2022-01,2022,01,1,25.057142857142857,27.397121885714302,29.97142857142858,66.37676431428574,79.54306568571428,90.27590891428572,1,29146,427,0.19265358,0.68620052,3.7043236,0,0,0
2022-02,2022,02,1,25.89285714285715,28.137400928571424,30.571428571428573,63.62338160714285,76.09534746428572,87.69950471428574,1,29146,427,0.182639,0.85775065,0.55195775,0,0,0
2022-03,2022,03,5,24.0,26.478100678571426,29.250000000000025,72.36375946428572,85.96942139285716,97.51492375000001,1,29146,427,0.37122105,4.28875315,4.78187955,0,0,0
2022-04,2022,04,9,24.642857142857125,27.067473714285697,29.9642857142857,69.59709596428573,83.83098867857143,94.88907517857142,2,29146,427,0.5288082,7.7197555,1.5781182249999999,1,0,0
2022-05,2022,05,12,24.285714285714278,26.65097979999998,29.6,68.97264157142858,84.11698488571429,94.74755160000001,2,29146,427,0.393504642,8.234406,0.8408685480000001,1,0,0
