SE,casos,p_rt1,p_inc100k,nivel,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,notif_accum_year
201612,0,0.0,0.0,1,0.0,15036,25.8571428571429,91.1428571428571,0,0,0,84.1512041428571,77.0,27.1478045714286,28.4285714285714,513
201611,0,0.0,0.0,1,0.0,15036,25.2857142857143,92.8571428571429,0,0,0,84.7918972857143,75.2857142857143,26.7810247142857,28.7142857142857,513
201610,0,0.0,0.0,1,0.0,15036,26.2857142857143,88.2857142857143,0,0,0,81.8051448571429,74.4285714285714,27.4696225714286,28.5714285714286,513
201609,0,0.0,0.0,1,0.0,15036,26.1428571428571,88.1428571428571,0,0,0,81.3461842857143,72.7142857142857,27.4668365714286,28.7142857142857,513
201608,0,0.0,0.0,1,0.0,15036,26.1428571428571,89.7142857142857,0,0,0,84.2879814285714,77.2857142857143,26.8072561428571,27.7142857142857,513
201607,1,0.68875587,6.650705,1,1.8589593,15036,26.0,87.4285714285714,1,0,0,82.896962,76.0,26.7620412857143,27.8571428571429,513
201606,0,0.0,0.0,1,0.0,15036,25.2857142857143,90.4285714285714,0,0,0,77.753365,59.7142857142857,27.6684112857143,30.1428571428571,513
201605,0,0.0,0.0,1,0.0,15036,24.5714285714286,93.4285714285714,0,0,0,81.8695362857143,65.2857142857143,26.6282981428571,29.2857142857143,513
201604,2,0.95394003,13.30141,1,9.260808,15036,25.1428571428571,90.5714285714286,1,0,0,80.77551,64.8571428571429,26.3852042857143,27.4285714285714,513
201603,0,0.0,0.0,1,0.0,15036,24.7142857142857,93.0,0,0,0,87.3680428571429,80.1428571428571,25.6679035714286,26.8571428571429,513
201602,0,0.0,0.0,1,0.0,15036,26.0,90.4285714285714,0,0,0,84.5086408571429,75.8571428571429,26.6768434285714,27.4285714285714,513
201601,0,0.0,0.0,1,0.0,15036,26.1428571428571,87.5714285714286,0,0,0,84.0807822857143,78.1428571428571,26.6785714285714,27.5714285714286,513
201552,2,0.9661878,13.30141,1,12.347745,15036,25.5714285714286,85.4285714285714,0,0,0,79.73082,72.2857142857143,26.505291,27.4285714285714,513
201551,0,0.0,0.0,1,0.0,15036,25.8571428571429,83.4285714285714,0,0,0,78.4409485714286,71.4285714285714,26.6037415714286,27.5714285714286,513
201550,0,0.0,0.0,1,0.0,15036,26.1428571428571,83.0,0,0,0,77.7448985714286,68.1428571428571,27.0918365714286,28.8571428571429,513
201549,0,0.0,0.0,1,0.0,15036,26.0,80.7142857142857,0,0,0,72.1454071428571,60.1428571428571,27.4311224285714,29.1428571428571,513
201548,1,0.9632679,6.650705,1,18.521618,15036,26.4285714285714,79.4285714285714,0,0,0,69.07861,52.2857142857143,28.1902874285714,31.0,513
201547,0,0.0,0.0,1,0.0,15036,25.8571428571429,82.4285714285714,0,0,0,71.6173485714286,54.5714285714286,27.8877554285714,31.0,513
201546,0,0.0,0.0,1,0.0,15036,25.4285714285714,82.7142857142857,0,0,0,70.4268251428571,54.4285714285714,27.666084,30.8571428571429,513
201545,0,0.0,0.0,1,0.0,15036,25.0,84.0,0,0,0,69.95408,52.1428571428571,27.2142857142857,30.0,513
201544,0,0.0,0.0,1,0.0,15036,25.125,79.875,0,0,0,65.956043,46.875,27.5192305,30.625,513
201543,0,0.0,0.0,1,0.0,15036,25.1428571428571,80.8571428571429,0,0,0,68.34146,50.4285714285714,27.2246788571429,30.0,513
201542,0,0.0,0.0,1,0.0,15036,25.2857142857143,80.1428571428571,0,0,0,68.6710142857143,49.1428571428571,27.2561412857143,30.1428571428571,513
201541,0,0.0,0.0,1,0.0,15036,24.8571428571429,82.8571428571429,0,0,0,66.3476938571429,45.4285714285714,27.510015,30.8571428571429,513
201540,0,0.0,0.0,1,0.0,15036,25.1428571428571,79.5714285714286,0,0,0,68.5050985714286,50.5714285714286,27.2142857142857,30.1428571428571,513
201539,0,0.0,0.0,1,0.0,15036,24.8571428571429,75.5714285714286,0,0,0,63.3061234285714,43.5714285714286,27.030612,30.1428571428571,513
201538,1,0.6887573,6.650705,1,1.8589696,15036,24.8571428571429,74.4285714285714,0,0,0,64.479592,46.1428571428571,26.8367347142857,29.7142857142857,513
201537,0,0.0,0.0,1,0.0,15036,24.7142857142857,78.8571428571429,0,0,0,63.8573114285714,46.1428571428571,26.8366042857143,29.7142857142857,513
201536,0,0.0,0.0,1,0.0,15036,25.0,78.4285714285714,0,0,0,65.4451612857143,43.1428571428571,26.9814881428571,29.8571428571429,513
201535,2,0.97795385,13.30141,1,18.498686,15036,24.4285714285714,80.8571428571429,0,0,0,67.2317137142857,49.2857142857143,26.4652508571429,29.1428571428571,513
201534,0,0.0,0.0,1,0.0,15036,24.7142857142857,75.0,0,0,0,64.0153072857143,46.7142857142857,26.5714282857143,29.0,513
201533,0,0.0,0.0,1,0.0,15036,23.8571428571429,78.0,0,0,0,64.4377548571428,41.8571428571429,26.4377551428571,29.4285714285714,513
201532,0,0.0,0.0,1,0.0,15036,23.5714285714286,75.7142857142857,0,0,0,62.8928571428571,42.5714285714286,26.5459182857143,29.7142857142857,513
201531,0,0.0,0.0,1,0.0,15036,23.5714285714286,78.1428571428571,0,0,0,64.340958,42.8571428571429,26.5640397142857,29.2857142857143,513
