SE,casos,p_rt1,p_inc100k,nivel,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,notif_accum_year
201738,0,0.0,0.0,1,0.0,29146,,80.071681,0,0,0,,,,,427
201737,0,0.0,0.0,1,0.0,29146,,79.9358405,0,0,0,,,,,427
201736,0,0.0,0.0,1,0.0,29146,23.8,79.8,0,0,0,71.870237,61.4,25.6099208,26.8,427
201735,0,0.0,0.0,1,0.0,29146,24.8571428571429,78.1428571428571,0,0,0,72.8472224285714,64.4285714285714,25.8869045714286,26.5714285714286,427
201734,0,0.0,0.0,1,0.0,29146,24.4285714285714,77.7142857142857,0,0,0,74.4345234285714,66.2857142857143,25.5416665714286,26.2857142857143,427
201733,0,0.0,0.0,1,0.0,29146,24.4285714285714,84.7142857142857,0,0,0,79.0535714285714,72.0,25.4285714285714,26.0,427
201732,0,0.0,0.0,1,0.0,29146,24.2857142857143,79.5714285714286,0,0,0,74.2876977142857,67.1428571428571,25.4880951428571,26.1428571428571,427
201731,0,0.0,0.0,1,0.0,29146,23.7142857142857,81.1428571428571,0,0,0,77.30754,70.7142857142857,25.0833334285714,26.1428571428571,427
201730,0,0.0,0.0,1,0.0,29146,23.5714285714286,84.7142857142857,0,0,0,80.7817457142857,74.5714285714286,24.5694447142857,25.8571428571429,427
201729,0,0.0,0.0,1,0.0,29146,23.8571428571429,87.1428571428571,0,0,0,81.8293657142857,76.1428571428571,24.6825398571429,25.5714285714286,427
201728,0,0.0,0.0,1,0.0,29146,24.0,81.0,0,0,0,75.2023805714286,68.5714285714286,25.1011905714286,26.1428571428571,427
201727,0,0.0,0.0,1,0.0,29146,23.8571428571429,85.8571428571429,0,0,0,81.2281742857143,75.7142857142857,24.7896827142857,26.1428571428571,427
201726,0,0.0,0.0,1,0.0,29146,24.8571428571429,86.5714285714286,0,0,0,81.4186514285714,76.2857142857143,25.7757935714286,26.2857142857143,427
201725,0,0.0,0.0,1,0.0,29146,24.7142857142857,86.4285714285714,0,0,0,81.9087314285714,75.4285714285714,25.644841,26.5714285714286,427
201724,0,0.0,0.0,1,0.0,29146,24.5714285714286,88.0,0,0,0,80.9919264285714,73.0,25.9857005714286,27.5714285714286,427
201723,0,0.0,0.0,1,0.0,29146,24.8571428571429,83.4285714285714,0,0,0,79.32738,72.0,26.0119048571429,27.7142857142857,427
